Name,MAE,MRAE(%),StdAE,MSE,$R^2$
Neural Regressor,2.0497442549874147,21.53322630421569,1.39737175860598,6.15409934260348,-0.9524926270723761
Random Forest Regressor,0.9315045844820441,10.327935622107994,0.7962643935028061,1.5017377752714571,0.5235481634631591
TPOT Regressor,0.9892435056868566,10.784418353287641,0.8587297355314215,1.7160194722294868,0.45556365262974874
Support Vector Regressor,1.1969048364433876,13.714298228005484,0.7470211855653943,1.9906218391851,0.3684413838769931
Kernel Ridge Regressor,5.672472082691848,56.14242129341744,2.422478901672588,38.04534355796722,-11.070531958611692
K-NN Regressor,1.5152059341028326,17.28513847828581,1.0008633158209452,3.2975763996965344,-0.04621216674925521
Gaussian Process Regressor,1.2070932486116979,13.678672591287208,0.7727659864528327,2.0542413806623614,0.3482570029047599
Gradient Boosting Regressor,1.0889894853992368,11.807127954077707,0.8754557837173711,1.9523209285542908,0.3805929988337279
Ensemble Model,1.0560285322622356,11.470179921613452,0.8197343848871067,1.7871607227181745,0.43299288161565763
